player,squad,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
Aaron Connolly,Millwall,44,13,11,1.5,0,0.0,240,18,24,21
Aaron Connolly,Sunderland,8,3,1,0.37,1,0.37,41,4,6,2
Aaron Ramsey,Burnley,3,0,0,0.0,0,0.0,7,0,0,0
Aaron Ramsey,Cardiff City,81,10,15,2.42,1,0.16,429,9,10,4
Abdoulaye Kamara,Portsmouth,6,0,4,2.93,0,0.0,102,5,1,1
Abdülkadir Ömür,Hull City,100,8,31,2.62,2,0.17,527,18,14,18
Abu Kamara,Hull City,202,36,73,2.91,5,0.2,962,51,25,31
Abu Kamara,Norwich City,1,0,1,5.29,0,0.0,12,0,1,0
Adam Armstrong,West Brom,43,24,17,1.52,1,0.09,278,16,12,9
Adam Davies,Sheffield Utd,24,0,0,0.0,0,0.0,100,0,0,0
Adam Forshaw,Blackburn,52,6,7,1.12,0,0.0,370,7,1,2
Adam Forshaw,Plymouth Argyle,56,7,9,1.19,0,0.0,400,7,8,2
Adam Idah,Norwich City,3,0,1,3.0,0,0.0,11,1,0,0
Adam Randell,Plymouth Argyle,443,30,84,2.24,6,0.16,2114,37,27,20
Adil Aouchiche,Portsmouth,78,14,22,2.9,2,0.26,341,28,11,6
Adil Aouchiche,Sunderland,52,14,13,3.94,1,0.3,192,13,4,4
Aidan Morris,Middlesbrough,191,30,80,2.47,5,0.15,2618,40,35,20
Aidomo Emakhu,Millwall,58,16,27,3.49,3,0.39,303,31,10,21
Ajibola Alese,Sunderland,71,3,7,0.9,0,0.0,432,5,4,2
Akin Famewo,Sheffield Weds,96,4,7,0.67,1,0.1,590,4,2,1
Alan Browne,Sunderland,112,10,26,1.93,2,0.15,648,24,16,16
Alex Matos,Oxford United,54,2,12,1.16,0,0.0,390,23,18,8
Alex Mowatt,West Brom,348,29,114,3.06,6,0.16,2957,25,13,15
Alex Palmer,West Brom,355,0,2,0.07,0,0.0,1292,0,0,0
Alexander Gilbert,Middlesbrough,17,1,4,4.68,0,0.0,79,4,0,1
Alexander Robertson,Cardiff City,303,18,88,3.29,3,0.11,1625,46,15,22
Alfie Doughty,Luton Town,432,16,111,4.9,7,0.31,1463,38,21,24
Alfie Gilchrist,Sheffield Utd,225,9,43,1.84,2,0.09,1441,22,16,22
Alfie Jones,Hull City,360,8,30,0.8,1,0.03,2777,19,7,7
Alfie Lloyd,QPR,50,18,17,2.05,0,0.0,340,58,25,34
Ali Al Hamadi,Stoke City,52,19,17,1.85,1,0.11,274,30,10,17
Alistair McCann,Preston,200,17,39,1.45,2,0.07,1309,24,16,13
Amankwah Forson,Norwich City,58,16,18,2.23,3,0.37,347,17,21,11
Amari'i Bell,Luton Town,310,4,39,1.3,2,0.07,1516,27,13,12
Amario Cozier-Duberry,Blackburn,50,16,22,2.75,0,0.0,355,21,26,14
Amin Nabizada,Watford,1,0,0,0.0,0,0.0,11,0,0,0
Anass Zaroury,Burnley,5,0,0,0.0,0,0.0,11,0,0,0
Andre Brooks,Sheffield Utd,58,21,30,2.84,2,0.19,483,31,14,31
Andre Dozzell,Portsmouth,235,16,41,1.31,6,0.19,1223,18,12,5
Andre Gray,Plymouth Argyle,41,7,10,1.63,1,0.16,131,10,2,4
Andreas Hountondji,Burnley,6,8,2,0.86,0,0.0,65,9,5,3
Andreas Weimann,Blackburn,85,33,29,1.85,3,0.19,484,16,8,3
Andrew Hughes,Preston,493,9,43,1.2,5,0.14,2479,40,15,10
Andrew Moran,Stoke City,213,28,76,2.9,4,0.15,1181,42,37,36
Andros Townsend,Luton Town,4,0,1,8.18,0,0.0,11,0,1,1
André Vidigal,Stoke City,16,7,2,1.73,0,0.0,70,5,0,7
Andy Rinomhota,Cardiff City,247,6,32,1.37,3,0.13,1181,32,13,16
Anel Ahmedhodžić,Sheffield Utd,184,12,23,0.66,0,0.0,2162,22,12,7
Anfernee Dijksteel,Middlesbrough,267,3,45,1.6,3,0.11,2174,44,28,33
Angelo Ogbonna,Watford,25,0,0,0.0,0,0.0,271,2,0,0
Angus Gunn,Norwich City,264,0,3,0.09,1,0.03,1440,0,0,0
Anis Ben Slimane,Norwich City,184,19,52,2.24,7,0.3,1432,43,27,18
Anis Ben Slimane,Sheffield Utd,5,0,2,4.0,0,0.0,33,0,0,2
Anis Mehmeti,Bristol City,209,82,84,2.95,3,0.11,1074,52,47,72
Ante Crnac,Norwich City,136,33,58,2.09,8,0.29,812,61,35,36
Anthony Musaba,Sheffield Weds,108,32,40,2.71,7,0.47,518,33,29,49
Anthony Patterson,Sunderland,416,1,9,0.21,1,0.02,1575,0,0,0
Anwar El Ghazi,Cardiff City,114,37,35,2.68,2,0.15,507,40,12,26
Ao Tanaka,Leeds United,288,43,96,2.61,10,0.27,3028,34,26,17
Arnór Sigurðsson,Blackburn,3,2,4,5.81,1,1.45,31,0,2,0
Ashley Barnes,Burnley,15,3,0,0.0,0,0.0,54,7,1,2
Ashley Barnes,Norwich City,10,4,5,2.6,1,0.52,52,5,8,0
Ashley Phillips,Stoke City,240,12,8,0.23,1,0.03,1884,8,5,2
Augustus Kargbo,Blackburn,12,4,8,3.87,1,0.48,79,13,3,10
Auston Trusty,Sheffield Utd,1,0,0,0.0,0,0.0,52,0,0,0
Aynsley Pears,Blackburn,467,0,2,0.05,1,0.02,1357,0,0,0
Azeem Abdulai,Swansea City,41,2,4,1.03,0,0.0,196,17,4,3
Bachir Belloumi,Hull City,126,25,39,4.31,5,0.55,457,18,9,16
Bae Junho,Stoke City,272,40,108,2.98,10,0.28,1584,89,60,59
Bali Mumba,Plymouth Argyle,308,22,58,1.54,6,0.16,1856,67,36,39
Balázs Tóth,Blackburn,95,0,0,0.0,0,0.0,204,0,0,0
Barry Bannan,Sheffield Weds,495,48,149,3.87,10,0.26,2555,34,29,13
Bashir Humphreys,Burnley,180,11,25,1.27,3,0.15,1397,33,11,20
Ben Brereton,Sheffield Utd,85,22,29,2.64,4,0.36,403,22,10,8
Ben Cabango,Swansea City,462,23,36,0.8,3,0.07,3856,26,6,4
Ben Gannon-Doak,Middlesbrough,142,27,82,4.15,11,0.56,923,38,27,65
Ben Gibson,Stoke City,238,8,14,0.65,1,0.05,1648,5,2,0
Ben Killip,Portsmouth,36,0,1,0.5,0,0.0,97,0,0,0
Ben Lloyd,Swansea City,2,0,0,0.0,0,0.0,10,1,0,0
Ben Osborn,Derby County,248,6,61,3.23,3,0.16,1039,27,16,4
Ben Pearson,Stoke City,47,1,10,1.58,1,0.16,292,6,1,1
Ben Sheaf,Coventry City,216,32,73,3.08,7,0.3,1692,29,30,20
Ben Stevenson,Portsmouth,0,0,0,0.0,0,0.0,11,0,0,0
Ben Waine,Plymouth Argyle,3,0,0,0.0,0,0.0,5,2,0,0
Ben Whiteman,Preston,304,25,65,2.34,8,0.29,1587,11,3,2
Ben Wilmot,Stoke City,418,22,36,1.0,0,0.0,2413,17,9,8
Ben Wilson,Coventry City,60,0,0,0.0,0,0.0,149,0,0,0
Benjamin Chrisene,Norwich City,105,3,21,1.64,1,0.08,807,25,11,18
Benjamin Nelson,Oxford United,145,4,7,0.46,1,0.07,812,4,3,2
Benson Manuel,Burnley,5,4,4,8.0,0,0.0,43,1,1,1
Billy Blacker,Sheffield Utd,1,0,0,0.0,0,0.0,3,0,0,0
Billy Mitchell,Millwall,86,4,17,1.72,1,0.1,553,17,7,4
Bobby Thomas,Coventry City,420,44,34,0.92,5,0.13,2735,22,6,4
Borja Sainz,Norwich City,254,118,128,3.19,13,0.32,1657,114,91,116
Brad Hills,Norwich City,2,0,0,0.0,0,0.0,27,0,0,0
Brad Potts,Preston,248,29,56,2.45,4,0.18,1245,42,21,25
Bradley Collins,Coventry City,161,1,6,0.41,1,0.07,536,1,0,0
Brandon Thomas-Asante,Coventry City,90,46,40,2.48,6,0.37,444,43,26,19
Brendan Galloway,Plymouth Argyle,106,2,12,1.1,1,0.09,622,11,1,2
Brenden Aaronson,Leeds United,265,86,145,3.67,13,0.33,1777,103,112,59
CJ Egan-Riley,Burnley,393,15,41,1.02,3,0.07,3243,13,8,6
Caleb Roberts,Plymouth Argyle,15,3,2,0.94,0,0.0,75,2,4,2
Caleb Wiley,Watford,82,3,13,1.62,1,0.12,495,12,8,7
Callum Brittain,Blackburn,352,18,80,2.71,9,0.3,1910,27,19,29
Callum Doyle,Norwich City,497,21,61,1.6,11,0.29,3686,33,10,17
Callum Elder,Derby County,349,9,52,2.18,8,0.33,1360,37,14,21
Callum Lang,Portsmouth,143,66,62,2.29,9,0.33,777,93,54,72
Callum O'Dowda,Cardiff City,593,26,95,2.41,9,0.23,2133,51,19,32
Callum O'Hare,Sheffield Utd,218,40,98,2.81,11,0.32,1445,90,68,45
Callum Paterson,Sheffield Weds,138,26,26,1.97,4,0.3,459,40,13,5
Callum Robinson,Cardiff City,130,58,51,2.27,7,0.31,667,45,27,14
Callum Styles,West Brom,321,24,47,1.62,4,0.14,1963,35,22,25
Callum Wright,Plymouth Argyle,135,22,30,1.85,0,0.0,573,35,16,31
Calum Chambers,Cardiff City,403,30,46,1.18,5,0.13,2551,36,20,10
Calum Scanlon,Millwall,12,3,0,0.0,0,0.0,83,3,7,7
Cameron Brannagan,Oxford United,249,48,68,2.11,11,0.34,1605,17,10,6
Cameron Pring,Bristol City,404,7,52,2.1,8,0.32,1745,40,17,18
Camiel Neghli,Millwall,33,7,9,4.2,1,0.47,115,5,7,2
Carl Rushworth,Hull City,16,0,0,0.0,0,0.0,67,0,0,0
Carlton Morris,Luton Town,376,62,72,2.08,4,0.12,1296,101,59,17
Casper de Norre,Millwall,287,30,62,1.55,6,0.15,1906,43,31,6
Cauley Woodrow,Blackburn,23,3,5,2.03,1,0.41,131,7,6,5
Cauley Woodrow,Luton Town,43,7,4,1.33,0,0.0,164,5,5,6
Charlie Crew,Leeds United,1,1,0,0.0,0,0.0,7,0,0,0
Charlie Hughes,Hull City,232,16,30,1.15,2,0.08,1849,13,7,6
Charlie McNeill,Sheffield Weds,6,1,0,0.0,0,0.0,33,1,0,1
Ched Evans,Preston,10,7,3,2.65,1,0.88,66,5,5,2
Chiedozie Ogbene,Luton Town,23,0,6,2.2,0,0.0,117,3,1,7
Chris Bedia,Hull City,14,19,16,1.57,0,0.0,191,21,12,12
Chris Mepham,Sunderland,267,14,35,0.96,3,0.08,2443,14,6,1
Chris Rigg,Sunderland,271,48,82,2.42,8,0.24,1464,70,36,49
Chris Willock,Cardiff City,130,28,56,3.25,3,0.17,758,35,28,37
Christ Makosso,Luton Town,175,7,15,1.41,1,0.09,510,12,2,2
Christian Fassnacht,Norwich City,8,3,0,0.0,0,0.0,39,2,0,1
Christian Saydee,Portsmouth,72,20,25,1.95,2,0.16,376,33,29,23
Cian Ashford,Cardiff City,98,21,31,1.83,5,0.3,538,38,19,20
Ciaron Brown,Oxford United,475,23,24,0.6,3,0.07,2458,21,5,6
Cody Drameh,Hull City,224,13,31,1.69,3,0.16,1505,34,14,20
Cohen Bramall,Portsmouth,73,4,10,1.97,1,0.2,277,9,3,6
Colby Bishop,Portsmouth,352,62,62,2.12,10,0.34,1023,74,20,14
Connor Ogilvie,Portsmouth,652,39,72,1.61,3,0.07,2356,27,7,14
Connor Roberts,Burnley,452,26,77,1.91,10,0.25,2873,20,5,9
Conor Hazard,Plymouth Argyle,472,0,6,0.24,1,0.04,982,0,0,0
Conor Shaughnessy,Portsmouth,70,7,4,0.7,0,0.0,358,4,0,1
Corey Blackett-Taylor,Derby County,34,11,14,3.12,1,0.22,157,11,13,13
Craig Forsyth,Derby County,403,18,28,0.99,4,0.14,1652,21,7,5
Curtis Nelson,Derby County,199,18,17,0.63,2,0.07,1308,12,8,0
Cyrus Christie,Swansea City,48,0,0,0.0,0,0.0,272,2,4,0
Dael Fry,Middlesbrough,107,4,8,0.51,0,0.0,1300,5,1,0
Daiki Hashioka,Luton Town,180,7,7,0.52,0,0.0,683,14,5,10
Dajaune Brown,Derby County,19,7,7,1.64,1,0.23,110,17,6,3
Dan McNamara,Millwall,69,1,6,0.79,0,0.0,353,6,4,6
Dan Neil,Sunderland,329,24,89,2.07,8,0.19,2379,58,45,43
Dane Scarlett,Oxford United,41,12,10,1.14,1,0.11,218,38,18,15
Daniel Bachmann,Watford,241,0,3,0.14,1,0.05,744,0,0,1
Daniel Ballard,Sunderland,94,14,14,1.12,1,0.08,913,13,3,2
Daniel Barlaser,Middlesbrough,159,8,43,3.35,2,0.16,1126,6,8,5
Daniel Bennie,QPR,28,3,4,1.67,0,0.0,95,3,4,0
Daniel Grimshaw,Plymouth Argyle,379,0,6,0.29,0,0.0,1135,2,0,0
Daniel James,Leeds United,343,99,95,3.28,15,0.52,1110,37,37,43
Daniel Jebbison,Watford,18,9,9,2.1,0,0.0,89,13,8,4
Daniel Johnson,Stoke City,0,0,0,0.0,0,0.0,3,0,0,0
Daniel Kelly,Millwall,1,0,0,0.0,0,0.0,7,1,1,1
Danny Batth,Blackburn,312,17,19,0.57,1,0.03,1969,10,6,2
Dara O'Shea,Burnley,14,4,5,2.5,1,0.5,128,1,0,0
Darko Gyabi,Plymouth Argyle,171,33,63,2.0,4,0.13,1266,55,35,43
Darnell Furlong,West Brom,574,40,101,2.45,17,0.41,2603,43,14,22
Daryl Dike,West Brom,18,7,9,3.57,1,0.4,80,10,3,3
David Cornell,Preston,113,0,1,0.11,0,0.0,357,1,0,0
David Ozoh,Derby County,25,6,9,1.16,2,0.26,323,11,16,5
David Turnbull,Cardiff City,101,19,44,4.79,2,0.22,721,7,7,4
Delano Burgzorg,Middlesbrough,104,68,67,2.76,8,0.33,804,52,29,45
Dennis Cirkin,Sunderland,317,39,57,1.87,6,0.2,1836,49,28,34
Devante Cole,West Brom,16,3,2,1.13,0,0.0,73,10,0,1
Di'Shon Bernard,Sheffield Weds,156,17,17,0.68,1,0.04,1420,11,6,1
Dimitris Goutas,Cardiff City,252,23,17,0.52,2,0.06,1843,15,2,5
Dion Sanderson,Blackburn,43,0,1,0.16,0,0.0,376,5,1,3
Djeidi Gassama,Sheffield Weds,201,71,100,3.03,7,0.21,1241,97,71,95
Dominic Hyam,Blackburn,425,20,29,0.63,3,0.07,2966,22,2,2
Dominic Iorfa,Sheffield Weds,111,10,8,0.5,1,0.06,759,8,8,4
Duane Holmes,Preston,101,6,29,3.13,1,0.11,441,14,12,13
Duncan Watmore,Millwall,96,26,45,2.57,3,0.17,526,47,43,31
Dylan Lawlor,Cardiff City,5,0,1,1.55,0,0.0,37,0,0,0
Ebou Adams,Derby County,382,52,58,1.38,4,0.1,1855,71,41,23
Edo Kayembe,Watford,232,63,77,2.17,5,0.14,1603,77,58,26
Egil Selvik,Watford,208,0,2,0.12,0,0.0,650,1,0,0
Eiran Cashin,Derby County,229,16,17,0.86,1,0.05,1365,16,6,4
Elias Sørensen,Portsmouth,25,5,6,1.68,0,0.0,111,12,3,4
Eliezer Mayenda,Sunderland,83,56,64,2.67,8,0.33,556,66,40,62
Elijah Adebayo,Luton Town,94,69,53,1.97,5,0.19,715,88,49,59
Elijah Dixon-Bonner,QPR,3,0,0,0.0,0,0.0,11,0,0,0
Elijah Morrison,Bristol City,5,1,0,0.0,0,0.0,33,0,0,1
Eliot Matazo,Hull City,24,4,14,4.2,0,0.0,162,3,2,4
Elliot Myles,Norwich City,4,0,0,0.0,0,0.0,18,1,0,0
Elliott Moore,Oxford United,120,10,5,0.22,2,0.09,1288,1,0,1
Ellis Simms,Coventry City,135,61,43,1.69,5,0.2,563,71,27,11
Emil Riis Jakobsen,Preston,179,70,58,1.92,7,0.23,810,98,46,36
Emiliano Marcondes,Norwich City,272,39,74,2.92,8,0.32,1420,46,25,12
Emmanouil Siopis,Cardiff City,94,10,21,1.31,1,0.06,769,17,20,3
Emmanuel Dennis,Blackburn,8,3,5,2.83,1,0.57,93,10,9,8
Emmanuel Latte Lath,Middlesbrough,69,53,53,2.7,7,0.36,482,40,20,26
Emmerson Sutton,QPR,3,1,0,0.0,0,0.0,18,0,0,1
Emre Tezgel,Stoke City,18,6,6,1.81,0,0.0,100,9,2,3
Enda Stevens,Stoke City,156,7,32,2.41,8,0.6,843,10,5,11
Enock Agyei,Burnley,7,2,1,1.55,0,0.0,44,2,1,3
Enzo Le Fée,Sunderland,136,19,42,3.78,3,0.27,772,30,16,29
Eom Jisung,Swansea City,216,58,77,3.03,5,0.2,1107,36,26,48
Ephron Mason-Clark,Coventry City,107,39,57,3.15,10,0.55,592,32,32,21
Eric Bocat,Stoke City,291,17,31,1.37,4,0.18,1415,28,15,33
Erik Pieters,Derby County,0,0,0,0.0,0,0.0,0,0,0,0
Ethan Ampadu,Leeds United,242,11,44,1.73,4,0.16,2485,20,11,3
Ethan Horvath,Cardiff City,215,0,1,0.06,0,0.0,554,0,0,0
Fabio Tavares,Coventry City,0,0,0,0.0,0,0.0,0,0,0,0
Fally Mayulu,Bristol City,27,17,6,1.34,1,0.22,144,19,11,3
Femi Azeez,Millwall,241,53,66,3.12,9,0.43,901,51,41,39
Femi Seriki,Sheffield Utd,117,8,31,2.56,1,0.08,761,31,10,25
Festy Ebosele,Watford,105,7,34,4.04,2,0.24,469,16,10,26
Finley Burns,Hull City,22,0,1,0.29,0,0.0,161,2,0,0
Finn Azaz,Middlesbrough,512,123,180,4.57,20,0.51,2025,84,71,45
Florian Bianchini,Swansea City,69,18,14,1.14,0,0.0,367,33,15,8
Francisco Sierralta,Watford,151,9,18,0.85,1,0.05,1472,7,4,3
Freddie Potts,Portsmouth,350,21,79,2.33,8,0.24,1664,47,18,17
Freddie Woodman,Preston,433,0,4,0.11,0,0.0,1551,1,0,0
Frederick Issaka,Plymouth Argyle,42,8,6,0.91,1,0.15,215,25,16,28
Gabriel Forsyth,Norwich City,21,4,3,1.65,0,0.0,118,5,1,4
Gabriel Otegbayo,Sheffield Weds,17,3,0,0.0,0,0.0,211,3,3,1
Gatlin O'Donkor,Oxford United,1,0,0,0.0,0,0.0,4,0,1,1
George Earthy,Bristol City,105,24,32,1.98,6,0.37,779,32,18,20
George Edmundson,Middlesbrough,155,11,13,0.56,2,0.09,1718,9,2,3
George Evans,Millwall,53,0,0,0.0,0,0.0,123,0,0,0
George Honeyman,Millwall,276,20,90,3.34,7,0.26,1084,43,34,24
George Long,Norwich City,60,0,0,0.0,0,0.0,334,0,0,0
George McCormick,Middlesbrough,0,0,0,0.0,0,0.0,1,0,0,0
George Saville,Millwall,406,36,106,2.89,7,0.19,1775,37,30,25
George Tanner,Bristol City,261,11,33,1.48,0,0.0,1527,22,9,7
Georginio Rutter,Leeds United,11,2,7,7.0,1,1.0,43,4,4,7
Gianluca Frabotta,West Brom,15,1,1,1.38,0,0.0,55,1,0,0
Giorgi Chakvetadze,Watford,342,65,178,4.88,13,0.36,1921,77,78,67
Gonçalo Franco,Swansea City,301,43,75,2.15,10,0.29,1947,63,44,42
Grady Diangana,West Brom,123,25,47,2.83,7,0.42,830,61,41,34
Grant Hanley,Norwich City,2,1,0,0.0,0,0.0,50,1,0,0
Greg Leigh,Oxford United,363,18,38,1.47,5,0.19,1427,25,8,15
Gustavo Hamer,Sheffield Utd,512,91,155,4.46,19,0.55,1962,71,25,59
Gustavo Puerta,Hull City,245,21,67,3.19,5,0.24,1069,46,43,24
Haji Wright,Coventry City,131,62,43,1.99,7,0.32,673,60,34,39
Hamza Choudhury,Sheffield Utd,119,5,8,0.65,0,0.0,754,9,3,2
Han-Noah Massengo,Burnley,8,1,1,0.93,1,0.93,70,0,0,1
Hannes Delcroix,Swansea City,86,2,8,0.81,1,0.1,715,6,3,1
Hannibal Mejbri,Burnley,163,33,66,3.09,9,0.42,1110,53,47,27
Harrison Armstrong,Derby County,110,9,12,0.98,0,0.0,466,15,7,7
Harrison Ashby,QPR,183,13,22,1.25,1,0.06,924,36,10,24
