player,squad,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
Matt Crooks,Hull City,66,13,16,1.83,2,0.23,376,12,6,6
Matt Grimes,Coventry City,139,8,44,2.9,2,0.13,1231,6,5,9
Matt Grimes,Swansea City,325,19,80,2.76,8,0.28,2887,29,18,9
Matt Ingram,Oxford United,14,0,0,0.0,0,0.0,42,0,0,0
Matt Phillips,Oxford United,111,7,16,1.51,3,0.28,427,38,10,22
Matt Ritchie,Portsmouth,322,41,86,3.52,2,0.08,1085,25,18,18
Matthew Clarke,Derby County,189,11,16,1.05,1,0.07,824,8,3,0
Matthew Clarke,Middlesbrough,100,7,5,0.4,0,0.0,978,9,2,1
Matthew Pollock,Watford,509,27,50,1.18,10,0.24,3257,17,5,1
Matthew Sorinola,Plymouth Argyle,272,2,27,1.45,3,0.16,939,32,9,12
Matty Jacob,Hull City,82,6,8,1.61,0,0.0,365,6,3,1
Matěj Jurásek,Norwich City,18,0,1,1.08,0,0.0,39,3,0,1
Max Bird,Bristol City,404,43,137,3.54,17,0.44,2052,44,40,20
Max Lowe,Sheffield Weds,285,2,23,0.77,1,0.03,1802,18,10,10
Max O'Leary,Bristol City,584,0,6,0.13,0,0.0,1541,0,0,0
Maxime Estève,Burnley,300,7,25,0.55,1,0.02,3535,27,8,2
Maximilian Wöber,Leeds United,57,11,11,2.95,2,0.54,272,7,0,2
Micah Hamilton,Middlesbrough,21,5,7,2.0,0,0.0,201,4,2,10
Michael Adu-Poku,Watford,1,0,0,0.0,0,0.0,1,0,0,0
Michael Baidoo,Plymouth Argyle,37,1,8,1.59,0,0.0,153,14,9,2
Michael Cooper,Sheffield Utd,450,0,5,0.12,1,0.02,1738,1,0,0
Michael Frey,QPR,149,42,42,2.12,2,0.1,633,71,26,11
Michael Ihiekwe,Sheffield Weds,145,22,14,0.69,1,0.05,1197,11,3,1
Michael Johnston,West Brom,216,62,114,4.95,12,0.52,1271,47,33,78
Michael Obafemi,Plymouth Argyle,56,15,18,1.36,1,0.08,338,46,18,14
Michael Reindorf,Cardiff City,3,1,2,3.46,0,0.0,18,2,2,1
Michael Rose,Stoke City,90,3,7,0.49,0,0.0,891,5,0,0
Michael Smith,Sheffield Weds,195,59,57,2.79,10,0.49,710,38,22,11
Michał Helik,Oxford United,165,19,19,0.95,2,0.1,1091,9,1,2
Mihailo Ivanović,Millwall,195,51,36,1.49,3,0.12,693,67,38,19
Milan Aleksić,Sunderland,37,6,7,2.18,0,0.0,158,12,2,12
Milan van Ewijk,Coventry City,547,29,109,2.45,7,0.16,2812,73,27,48
Mileta Rajovic,Watford,2,2,1,1.96,0,0.0,15,1,0,1
Millenic Alli,Luton Town,87,22,22,2.59,3,0.35,353,27,28,15
Million Manhoef,Stoke City,233,73,106,3.94,11,0.41,1047,80,40,80
Milutin Osmajić,Preston,68,43,22,1.03,5,0.23,429,73,28,17
Mohammed Lawal,Stoke City,23,1,2,0.87,0,0.0,101,8,5,0
Morgan Fox,QPR,160,5,12,0.8,0,0.0,945,3,0,2
Morgan Whittaker,Middlesbrough,79,32,32,2.91,1,0.09,560,31,21,25
Morgan Whittaker,Plymouth Argyle,156,54,41,2.11,3,0.15,779,46,25,44
Moussa Sissoko,Watford,221,23,62,1.93,4,0.12,1371,50,13,25
Muhamed Tijani,Plymouth Argyle,55,6,7,1.41,0,0.0,155,19,8,3
Murray Wallace,Millwall,87,5,3,0.37,0,0.0,440,3,0,2
Mustapha Bundu,Plymouth Argyle,201,35,63,2.46,8,0.31,862,65,28,35
Myles Peart-Harris,Swansea City,161,24,37,2.0,5,0.27,751,54,33,26
Nahki Wells,Bristol City,161,55,51,2.24,9,0.39,765,64,25,26
Nathan Lowe,Stoke City,27,6,7,1.34,1,0.19,134,15,4,4
Nathan Redmond,Burnley,2,0,1,6.0,1,6.0,9,0,0,0
Nathan Simpson,Middlesbrough,2,0,0,0.0,0,0.0,2,0,0,0
Nathan Tjoe-A-On,Swansea City,1,0,0,0.0,0,0.0,7,0,0,0
Nathanael Ogbeta,Plymouth Argyle,68,4,8,1.15,1,0.14,357,6,4,1
Nathaniel Chalobah,Sheffield Weds,48,6,6,1.22,1,0.2,307,8,6,2
Nathaniel Mendez-Laing,Derby County,290,40,95,4.07,10,0.43,1110,44,15,34
Nathaniel Phillips,Derby County,231,25,21,0.85,3,0.12,1252,18,3,2
Nazariy Rusyn,Sunderland,5,0,1,1.25,0,0.0,24,2,2,3
Nectarios Triantis,Sunderland,1,0,0,0.0,0,0.0,1,0,0,0
Neto Borges,Middlesbrough,267,19,48,1.49,4,0.12,2039,36,19,25
Niall Ennis,Stoke City,12,3,3,1.38,0,0.0,56,9,5,3
Nicolas Madsen,QPR,181,20,65,3.34,6,0.31,852,17,14,13
Nicolas Schmid,Portsmouth,689,0,16,0.47,2,0.06,1359,1,0,0
Nikola Katić,Plymouth Argyle,110,10,4,0.29,1,0.07,630,14,1,0
Nordin Amrabat,Hull City,47,4,14,4.36,1,0.31,167,13,8,6
Norman Bassette,Coventry City,33,18,14,1.39,1,0.1,190,31,18,10
Olaf Kobacki,Sheffield Weds,33,9,8,1.95,0,0.0,171,10,8,10
Ole Romeny,Oxford United,44,5,7,1.07,1,0.15,157,13,12,4
Oliver Arblaster,Sheffield Utd,89,10,36,3.31,2,0.18,710,17,14,9
Oliver Cooper,Swansea City,70,7,24,2.08,2,0.17,425,21,14,12
Oliver Dovin,Coventry City,235,0,2,0.07,0,0.0,1013,2,0,0
Oliver Sonne,Burnley,3,0,1,3.6,0,0.0,23,0,0,0
Ollie Tanner,Cardiff City,166,36,40,2.6,7,0.45,665,30,16,27
Onel Hernández,Norwich City,57,14,22,3.1,4,0.56,259,24,10,19
Oscar Estupiñan,Hull City,8,3,0,0.0,0,0.0,35,5,0,0
Oscar Schwartau,Norwich City,106,22,32,1.84,3,0.17,731,44,23,26
Ousmane Diakité,West Brom,54,8,3,0.31,0,0.0,534,13,9,5
Owen Beck,Blackburn,256,8,39,1.87,4,0.19,1192,37,16,21
Owen Dale,Oxford United,28,6,8,2.05,0,0.0,151,8,7,5
Owen Moxon,Portsmouth,52,4,7,2.3,0,0.0,209,5,7,5
Paddy Lane,Portsmouth,97,13,25,2.1,2,0.17,361,14,16,8
Paddy McNair,West Brom,5,0,0,0.0,0,0.0,73,0,0,0
Pascal Struijk,Leeds United,266,25,42,1.34,8,0.26,3003,15,9,5
Patrick Bamford,Leeds United,23,12,3,1.08,0,0.0,117,14,5,6
Patrick Bauer,Preston,2,0,0,0.0,0,0.0,5,0,0,0
Patrick Roberts,Sunderland,368,76,147,4.03,15,0.41,1855,63,50,86
Paul Nardi,QPR,497,2,4,0.09,0,0.0,1710,0,0,2
Paul Smyth,QPR,324,44,103,3.35,11,0.36,1190,65,53,59
Pelly Ruddock Mpanzu,Luton Town,31,2,6,2.37,1,0.39,119,8,4,2
Perry Ng,Cardiff City,401,25,72,2.32,1,0.03,2043,33,25,24
Peter Kioso,Oxford United,308,6,21,0.82,1,0.04,1438,14,9,9
Pierce Charles,Sheffield Weds,72,0,2,0.25,0,0.0,358,2,0,0
Pierre Dwomoh,Watford,46,6,15,2.55,1,0.17,312,6,5,7
Pol Valentín,Sheffield Weds,193,9,35,2.06,3,0.18,821,31,16,30
Przemysław Płacheta,Oxford United,175,49,45,1.96,6,0.26,885,71,36,52
Raees Bangura-Williams,Millwall,44,8,12,1.77,6,0.89,233,17,13,8
Rami Al Hajj,Plymouth Argyle,98,25,41,2.68,0,0.0,756,43,30,24
Raphael Borges Rodrigues,Coventry City,1,0,0,0.0,0,0.0,6,2,0,0
Rav van den Berg,Middlesbrough,114,4,13,0.55,1,0.04,1719,19,1,1
Rayan Kolli,QPR,64,22,19,2.08,3,0.33,275,27,20,6
Reece Burke,Luton Town,120,7,16,1.69,3,0.32,490,9,1,6
Regan Poole,Portsmouth,211,5,11,0.46,1,0.04,1268,15,2,5
Regan Slater,Hull City,202,40,62,1.88,3,0.09,1226,40,38,18
Reuell Walters,Luton Town,101,2,12,1.1,0,0.0,557,17,15,11
Rhian Brewster,Sheffield Utd,100,37,48,2.78,5,0.29,596,30,22,13
Rhys Norrington-Davies,Sheffield Utd,34,1,4,1.43,0,0.0,190,4,1,1
Riley McGree,Middlesbrough,82,25,37,3.53,6,0.57,562,18,10,15
Rob Holding,Sheffield Utd,37,3,6,1.29,2,0.43,319,3,1,0
Robbie Brady,Preston,337,21,68,3.73,7,0.38,1115,21,10,8
Robert Atkinson,Portsmouth,111,6,13,1.07,3,0.25,632,3,0,3
Robert Dickie,Bristol City,318,22,24,0.69,5,0.14,2401,16,6,1
Rocco Vata,Watford,127,43,39,2.29,8,0.47,657,56,27,55
Romain Esse,Millwall,216,30,70,3.12,4,0.18,924,67,69,66
Romaine Mundle,Sunderland,134,35,63,3.96,4,0.25,752,50,32,54
Ronald,Swansea City,381,51,108,2.59,14,0.34,1919,136,50,121
Ronan Kpakio,Cardiff City,7,1,1,0.83,1,0.83,84,4,0,2
Ronnie Edwards,QPR,145,13,13,0.64,0,0.0,1287,8,3,3
Ross McCrorie,Bristol City,171,23,33,2.01,3,0.18,787,37,23,27
Ruairi Mcconville,Norwich City,20,2,5,2.2,0,0.0,168,2,0,2
Ruben Rodrigues,Oxford United,178,37,70,2.8,6,0.24,968,57,34,29
Rubin Colwill,Cardiff City,245,55,102,3.64,8,0.29,1460,80,58,57
Ryan Andrews,Watford,345,32,36,1.55,6,0.26,1224,39,15,12
Ryan Giles,Hull City,146,5,18,1.79,1,0.1,713,15,5,7
Ryan Giles,Middlesbrough,62,2,5,1.47,0,0.0,252,11,4,2
Ryan Hardie,Plymouth Argyle,102,60,40,1.59,8,0.32,476,35,28,12
Ryan Hedges,Blackburn,281,33,61,2.14,8,0.28,1288,50,32,33
Ryan Ledson,Preston,174,10,25,1.86,1,0.07,596,20,3,4
Ryan Leonard,Millwall,564,12,73,2.5,7,0.24,1771,19,14,4
Ryan Longman,Hull City,54,11,17,3.21,1,0.19,220,13,7,4
Ryan Mmaee,Stoke City,6,1,0,0.0,0,0.0,28,4,1,1
Ryan Nyambe,Derby County,127,0,10,0.8,1,0.08,648,19,8,4
Ryan One,Sheffield Utd,18,7,8,2.46,0,0.0,102,10,4,10
Ryan Porteous,Preston,91,8,10,1.09,0,0.0,556,5,1,1
Ryan Porteous,Watford,182,9,15,0.81,1,0.05,1270,12,6,4
Ryan Wintle,Millwall,47,8,17,2.99,1,0.18,242,5,3,1
Ryley Towler,Portsmouth,72,2,5,0.48,1,0.1,502,6,3,1
Ryo Hatsuse,Sheffield Weds,66,1,3,0.78,0,0.0,232,2,1,2
Sai Sachdev,Sheffield Utd,2,0,0,0.0,0,0.0,4,0,0,0
Salis Abdul Samed,Sunderland,17,0,5,1.59,0,0.0,183,2,0,4
Sam Bell,Bristol City,47,15,22,4.5,2,0.41,215,14,7,6
Sam Byram,Leeds United,178,15,29,1.85,5,0.32,1128,20,6,5
Sam Field,QPR,232,27,35,1.08,3,0.09,1485,39,16,10
Sam Gallagher,Stoke City,99,24,16,1.41,4,0.35,348,36,11,17
Sam Greenwood,Preston,286,69,94,3.49,4,0.15,1108,63,56,33
Sam Long,Oxford United,219,8,20,1.08,2,0.11,1065,20,2,6
Sam McCallum,Sheffield Utd,149,15,20,1.71,1,0.09,699,23,6,6
Sam Silvera,Portsmouth,35,7,10,2.02,0,0.0,199,20,8,7
Sammie Szmodics,Blackburn,0,1,1,3.46,1,3.46,4,0,0,0
Samuel Chambers,Leeds United,0,0,0,0.0,0,0.0,5,1,0,2
Samuel Iling-Junior,Middlesbrough,154,13,38,3.24,1,0.09,760,26,16,30
Samuel Parker,Swansea City,9,2,0,0.0,0,0.0,53,0,3,1
Scott Twine,Bristol City,193,82,109,4.63,7,0.3,1101,48,29,23
Sean McLoughlin,Hull City,415,30,53,1.48,6,0.17,2612,19,11,7
Semi Ajayi,West Brom,115,5,11,0.81,0,0.0,925,5,4,1
Seny Dieng,Middlesbrough,113,0,2,0.12,1,0.06,578,0,0,0
Shandon Baptiste,Luton Town,75,6,23,2.88,1,0.13,441,7,9,10
Shane Duffy,Norwich City,385,36,34,0.76,6,0.13,3894,14,7,4
Shaun Hutchinson,Millwall,42,2,2,0.45,1,0.23,242,2,0,0
Shea Charles,Sheffield Weds,416,29,130,3.22,11,0.27,2447,52,38,35
Shurandy Sambo,Burnley,3,0,0,0.0,0,0.0,14,0,0,0
Simon Moore,Sunderland,37,0,0,0.0,0,0.0,126,1,0,0
Sinclair Armstrong,Bristol City,55,41,33,1.91,5,0.29,396,57,10,18
Siriki Dembélé,Oxford United,106,27,45,2.95,3,0.2,577,53,44,49
Sivert Mannsverk,Cardiff City,129,9,27,2.42,2,0.18,608,13,12,6
Sol Sidibé,Stoke City,31,0,9,2.65,1,0.29,159,2,4,0
Solomon Brynn,Middlesbrough,31,0,1,0.18,0,0.0,183,0,0,0
Sondre Langås,Derby County,132,4,7,0.56,1,0.08,639,12,1,1
Sondre Tronstad,Blackburn,199,20,62,1.78,6,0.17,1961,34,16,12
Sonny Bradley,Derby County,24,1,1,0.3,0,0.0,157,3,1,0
Stanley Mills,Oxford United,60,11,11,2.78,1,0.25,188,9,9,6
Stefán Þórðarson,Preston,245,32,70,2.52,6,0.22,1270,23,26,19
Steve Cook,QPR,334,19,26,0.89,1,0.03,1757,11,2,0
Steven Alzate,Hull City,178,15,42,1.95,4,0.19,1364,27,17,9
Stuart Armstrong,Sheffield Weds,48,13,25,4.2,1,0.17,322,8,6,9
Svante Ingelsson,Sheffield Weds,215,23,49,2.61,10,0.53,789,34,20,12
Sydie Peck,Sheffield Utd,339,39,73,2.25,6,0.18,2075,37,31,22
Tahith Chong,Luton Town,158,28,57,2.53,3,0.13,875,45,29,44
Tamer Bani Odeh,West Brom,7,3,3,5.09,1,1.7,39,3,2,1
Tanatswa Nyakuhwa,Cardiff City,4,0,0,0.0,0,0.0,15,0,0,0
Tatsuhiro Sakamoto,Coventry City,220,34,76,2.65,9,0.31,1150,53,32,33
Tatsuki Seko,Stoke City,172,9,30,1.69,3,0.17,1052,20,12,14
Tawanda Chirewa,Derby County,11,2,4,2.42,0,0.0,76,9,2,3
Teden Mengi,Luton Town,173,15,14,0.8,1,0.06,931,12,6,0
Tegan Finn,Plymouth Argyle,12,1,0,0.0,0,0.0,48,5,2,1
Terry Devlin,Portsmouth,280,8,22,1.27,3,0.17,994,25,9,16
Thelo Aasgaard,Luton Town,127,38,39,2.32,1,0.06,692,43,30,24
Theo Carroll,Preston,2,0,0,0.0,0,0.0,10,0,0,0
Thomas Cannon,Sheffield Utd,26,21,11,1.45,2,0.26,150,16,10,3
Thomas Cannon,Stoke City,113,52,32,1.55,3,0.15,454,27,13,16
Thomas Kaminski,Luton Town,702,0,19,0.43,1,0.02,1664,2,0,1
Thomas Waddingham,Portsmouth,1,4,2,1.75,1,0.87,29,4,4,3
Todd Cantwell,Blackburn,334,34,103,3.74,12,0.44,1690,83,59,39
Tom Barkhuizen,Derby County,47,5,7,1.56,1,0.22,232,15,5,10
Tom Bradshaw,Millwall,18,14,5,1.0,0,0.0,102,7,3,2
Tom Bradshaw,Oxford United,22,7,8,2.01,0,0.0,107,8,3,2
Tom Davies,Sheffield Utd,49,10,16,2.14,5,0.67,457,11,8,9
Tom Dele-Bashiru,Watford,97,22,36,1.57,2,0.09,1293,29,22,20
Tom Fellows,West Brom,171,43,102,3.2,18,0.56,1101,73,41,52
Tom Glover,Middlesbrough,79,0,1,0.16,0,0.0,251,0,0,0
Tom Holmes,Luton Town,140,10,14,0.96,1,0.07,845,11,1,4
Tom Ince,Watford,85,15,27,1.89,1,0.07,556,25,12,10
Tom Krauß,Luton Town,152,16,37,2.08,5,0.28,852,32,14,7
Tom Leahy,Millwall,0,0,0,0.0,0,0.0,1,1,0,0
Tom McIntyre,Portsmouth,117,4,4,0.35,1,0.09,595,5,3,1
Tom Watson,Sunderland,91,26,36,3.64,0,0.0,441,23,23,22
Tommy Conway,Middlesbrough,82,54,65,2.48,7,0.27,726,40,28,26
Torbjørn Heggem,West Brom,323,27,33,0.74,2,0.04,2993,25,14,13
Trai Hume,Sunderland,581,29,102,2.41,11,0.26,2959,44,13,19
Tristan Crama,Millwall,320,10,23,1.27,2,0.11,1063,23,12,10
Tyler Goodhram,Oxford United,281,50,114,3.36,14,0.41,1484,72,51,77
Tymoteusz Puchacz,Plymouth Argyle,215,3,22,1.76,2,0.16,727,19,14,19
Tyrell Sellars-Fleming,Hull City,0,1,2,22.5,0,0.0,9,1,0,1
Tyrese Campbell,Sheffield Utd,79,47,42,2.39,8,0.46,452,41,17,17
Tyrese Fornah,Derby County,1,0,0,0.0,0,0.0,3,0,0,0
Tyrhys Dolan,Blackburn,242,50,99,2.81,17,0.48,1508,90,65,94
Uroš Račić,West Brom,85,21,23,2.26,3,0.29,572,12,13,5
Vakoun Bayo,Watford,103,59,25,1.0,3,0.12,682,92,21,19
Vicente Reyes,Norwich City,15,0,0,0.0,0,0.0,78,0,0,0
Victor Moses,Luton Town,183,12,23,1.82,0,0.0,658,17,14,23
Victor Pálsson,Plymouth Argyle,198,4,9,0.47,1,0.05,957,7,1,0
Victor Torp,Coventry City,289,49,83,3.55,6,0.26,1372,33,25,8
Viktor Johansson,Stoke City,546,0,8,0.17,0,0.0,1843,2,0,0
Vinicius Souza,Sheffield Utd,201,15,54,1.74,8,0.26,1921,35,35,12
Vitinho,Burnley,19,4,6,2.31,1,0.38,100,2,1,6
Václav Hladký,Burnley,6,0,0,0.0,0,0.0,40,0,0,0
Wes Harding,Millwall,46,0,0,0.0,0,0.0,127,3,3,3
Wilfried Gnonto,Leeds United,216,82,108,4.27,10,0.4,1283,39,48,46
Wilfried Kanga,Cardiff City,23,10,7,1.38,1,0.2,103,5,5,4
Will Alves,Cardiff City,38,13,28,3.77,4,0.54,240,18,13,11
Will Fish,Cardiff City,106,10,12,0.78,2,0.13,736,9,2,3
Will Goodwin,Oxford United,3,0,1,3.91,0,0.0,6,0,0,1
Will Keane,Preston,56,14,13,1.04,1,0.08,382,25,19,5
Will Lankshear,West Brom,18,8,2,0.51,0,0.0,89,13,8,1
Will Norris,Portsmouth,141,0,0,0.0,0,0.0,341,0,0,0
Will Vaulks,Oxford United,624,25,82,2.21,6,0.16,2380,24,15,7
William Jarvis,Hull City,7,2,7,3.91,0,0.0,93,4,7,4
Wilson Isidor,Sunderland,110,93,57,1.65,9,0.26,640,61,30,35
Wilson Odobert,Burnley,1,3,3,3.03,1,1.01,35,1,4,4
Wout Weghorst,Burnley,1,0,0,0.0,0,0.0,6,0,0,1
Wouter Burger,Stoke City,356,25,57,1.71,7,0.21,1802,42,27,7
Xavier Simons,Hull City,72,16,20,1.49,0,0.0,619,9,6,1
Yakou Méïte,Cardiff City,95,45,28,2.1,0,0.0,370,39,24,13
Yan Valery,Sheffield Weds,339,20,50,1.43,6,0.17,1713,42,49,49
Yang Minhyeok,QPR,43,18,18,2.34,3,0.39,275,20,16,13
Yasser Larouci,Watford,278,22,68,2.87,6,0.25,1450,38,15,36
Yousef Salech,Cardiff City,158,44,24,1.69,5,0.35,447,29,21,8
Yu Hirakawa,Bristol City,148,29,61,3.32,6,0.33,835,46,21,30
Yuki Ohashi,Blackburn,165,53,35,1.42,5,0.2,805,86,45,31
Yuri Ribeiro,Blackburn,246,8,22,1.47,2,0.13,1089,19,10,8
Zack Nelson,Luton Town,48,8,32,3.61,1,0.11,387,7,10,15
Zak Sturge,Millwall,39,1,1,0.3,0,0.0,172,3,4,3
Zak Swanson,Portsmouth,290,9,33,1.51,3,0.14,1196,18,3,11
Zak Vyner,Bristol City,645,15,51,1.11,4,0.09,3404,10,5,1
Zavier Massiah,Watford,5,0,2,3.1,0,0.0,24,2,0,0
Zeki Amdouni,Burnley,3,1,1,2.57,1,2.57,29,2,0,2
Zian Flemming,Burnley,126,79,45,1.67,9,0.33,676,59,24,16
Óscar Zambrano,Hull City,20,7,13,2.99,1,0.23,197,8,3,1
Žan Celar,QPR,36,26,18,1.72,0,0.0,210,24,10,3
Žan Vipotnik,Swansea City,82,56,28,1.21,2,0.09,442,39,8,8
